id;;geslacht;leeftijd;stance;stance_numeriek;oppervlakte;afstand;richting;G_29aug_blok1;M_29aug_blok1;PI_29aug_blok1;PM_29aug_blok1;G_29aug_blok2;M_29aug_blok2;PI_29aug_blok2;PM_29aug_blok2;G_30aug_blok1;M_30aug_blok1;PI_30aug_blok1;PM_30aug_blok1;G_30aug_blok2;M_30aug_blok2;PI_30aug_blok2;PM_30aug_blok2;G_30aug_blok3;M_30aug_blok3;PI_30aug_blok3;PM_30aug_blok3;G_30aug_blok4;M_30aug_blok4;PI_30aug_blok4;PM_30aug_blok4;G_31aug_blok1;M_31aug_blok1;PI_31aug_blok1;PM_31aug_blok1;G_31aug_blok2;M_31aug_blok2;PI_31aug_blok2;PM_31aug_blok2;G_31aug_blok3;M_31aug_blok3;PI_31aug_blok3;PM_31aug_blok3;G_31aug_blok4;M_31aug_blok4;PI_31aug_blok4;PM_31aug_blok4
3127;;;;Geen stance;;9146,888;349,852;Noordoost;38,85932541;45,50906754;0;0;42,84875107;63,31746292;0;0;44,19299316;75,14603424;0,16;2;43,60918045;66,56203461;0,02;1;42,16860199;64,29250336;0;0;43,456707;66,75134277;0,02;1;42,22442245;64,29882813;0;0;48,25912476;73,27295685;0,28;9;48,42272949;66,66654205;0,05;1;49,45142365;69,90409088;0,09;2
3157;;;;Geen stance;;31110,323;238,604;Zuid;44,0928421;46,62716293;0;0;46,22189713;70,89156342;0,21;10;62,895504;82,89021301;33,05;44;60,06574631;75,09107208;36,09;165;60,54232407;75,11602783;28,75;77;64,17326355;79,17240906;66,71;84;56,27891159;88,81410217;10,74;40;60,1842041;76,4723587;21,88;113;64,04528046;75,81021881;45,35;58;65,04151917;99,78936768;53,67;65
3170;;Man;65+;Negatief;-1;9535,354;269,672;Noordoost;40,47059631;49,21241379;0;0;42,52944946;68,49421692;0,07;4;44,23914719;76,47775269;0,16;2;43,50642014;67,95928955;0,03;1;42,71842194;67,17090607;0,08;2;43,95529175;67,88211823;0,04;2;42,61898422;65,18125153;0,03;1;48,35548019;74,31508636;0,35;12;49,14817047;67,1100235;0,02;1;49,99025345;70,49254608;0,11;2
3171;;Zeg ik liever niet;25-44 jaar;Positief;1;13572,092;563,426;Noordoost;42,61145401;44,53697968;0;0;52,90585709;97,317276;1,49;30;46,17934036;71,86113739;0,13;1;46,55923462;72,64427948;0,14;4;44,11209488;64,94587708;0;0;46,1506424;61,21762848;0;0;44,74951553;53,39632416;0;0;47,66702271;64,27609253;0;0;49,83559799;59,21082687;0;0;50,56081009;60,38415909;0;0
3189;;Man;45-64 jaar;Niet blootgesteld;;11076,379;190,451;Zuid;45,00613022;46,82385635;0;0;47,17599106;72,14846039;0;0;66,80094147;84,00232697;0;0;62,594944;75,59631348;0;0;62,60606384;75,50084686;0;0;66,14624023;76,92935181;0;0;58,78946686;90,39188385;0;0;62,46888351;76,70628357;0;0;65,58381653;76,06370544;0;0;66,58518982;97,17273712;0;0
3192;;Vrouw;45-64 jaar;Negatief;-1;1603,078;262,9453333;Zuid;42,13100306;45,9547081;0;0;44,6624616;62,33924484;0;0;55,10935338;76,62347412;1,1;5;53,39858882;69,46723175;0,38;18;52,95026652;70,82331848;0,06;4;56,0767072;72,66742706;1,23;26;51,78207525;83,42895508;0;0;55,08131154;73,24713898;0,24;4;57,42283885;71,98519135;0,03;1;58,59718959;77,33798981;0,28;4
3193;;Man;45-64 jaar;Positief;1;156,494;140,245;Noordwest;43,92554092;45,57950211;0;0;45,40401459;59,24290848;0;0;63,58189011;78,24736023;24,62;29;59,09778976;71,34192657;2,99;78;58,80158234;68,87860107;3,07;48;63,4111557;75,74744415;0;0;58,98258591;68,90824127;0;0;59,18918991;71,86330414;6,53;38;62,69408035;69,80081177;0;0;63,95315552;72,44091797;36,2;58
3198;;Man;45-64 jaar;Negatief;-1;3383,214;195,894;Zuid;44,93485641;46,15348434;0;0;46,98536682;67,44299316;0,09;6;66,30418396;80,81638336;30,25;43;62,55231857;73,32779694;34,13;163;62,59176636;73,62179565;27,26;72;66,1333847;75,20772552;64,42;78;58,39538956;80,90419006;6,91;36;62,45781326;75,47622681;20,97;92;65,60428619;74,87310028;44,78;46;66,59962463;85,4894104;52,86;55
3199;;;;Geen stance;;4616,502;245,772;Zuid;43,27132797;44,710495;0;0;45,81747818;63,69553757;0;0;61,13672256;75,23748779;14,22;13;58,25225067;68,34161377;0;0;59,22497177;70,61568451;0;0;62,84858322;73,04403687;30,8;74;54,24824142;73,12706757;0;0;58,34527969;72,59285736;9,2;45;63,16807938;77,42731476;0;0;63,89759445;84,64800262;41,31;65
3204;;Vrouw;45-64 jaar;Negatief;-1;4693,811;258,648;Zuid;43,56910706;44,69353867;0;0;45,76739883;59,28305435;0;0;61,03794861;75,00600433;13,67;13;58,7508316;68,21166992;3,2;93;59,51221848;70,48665619;9,26;44;63,15441132;72,50160217;0;0;54,87028503;74,00033569;0;0;58,92259979;72,49253082;0;0;63,25979233;74,01931763;0;0;64,07397461;83,99922943;0;0
